n,shortcode,url,caption,cuenta,fecha,views,likes,comments,duracion_seg,transcripto
30,DbizIYXk7cd,https://www.instagram.com/p/DbizIYXk7cd/,"Comenta ""JURADO"" y dejame ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-08-02,1792914,158874,3649,74,no
31,DX7K9pfCt-h,https://www.instagram.com/p/DX7K9pfCt-h/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-04,1536933,210548,215,48,no
32,Dabm7Y1AX8C,https://www.instagram.com/p/Dabm7Y1AX8C/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-07-06,1526485,133530,682,57,no
33,DbtGVvfDUU4,https://www.instagram.com/p/DbtGVvfDUU4/,"Comenta ""JURADO"" y dejame ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-08-06,1443670,90474,1764,135,no
34,Da0m6IYFA21,https://www.instagram.com/p/Da0m6IYFA21/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-07-15,1383614,100854,1380,77,no
35,DZsW5lLCCsB,https://www.instagram.com/p/DZsW5lLCCsB/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-06-17,1367418,124127,3174,75,no
36,DXxkbKxiFn4,https://www.instagram.com/p/DXxkbKxiFn4/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-04-30,1333942,153088,168,57,no
37,DaN10c5CGRD,https://www.instagram.com/p/DaN10c5CGRD/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-06-30,1306172,134079,286,81,no
38,DbeE19jD_P_,https://www.instagram.com/p/DbeE19jD_P_/,"Comenta ""JURADO"" y dejame ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-07-31,1301084,96861,5237,96,no
39,DZGJ_kNEtJG,https://www.instagram.com/p/DZGJ_kNEtJG/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-06-02,1211613,74312,459,89,no
40,DbmH3_JCCOC,https://www.instagram.com/p/DbmH3_JCCOC/,"Comenta ""JURADO"" y dejame ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-08-03,1076894,69835,1805,140,no
41,DbyP9TQlaXk,https://www.instagram.com/p/DbyP9TQlaXk/,"Comenta ""JURADO"" y dejame ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-08-08,1063324,61830,2166,84,no
42,DZyQFYoEbap,https://www.instagram.com/p/DZyQFYoEbap/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-06-19,1046373,154058,615,77,no
43,DY25mpfFFgG,https://www.instagram.com/p/DY25mpfFFgG/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-27,1011423,84451,148,28,no
44,DX7-vYSCCLW,https://www.instagram.com/p/DX7-vYSCCLW/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-05,985475,88335,280,69,no
45,DbV7PqeiFpC,https://www.instagram.com/p/DbV7PqeiFpC/,"Comenta ""JURADO"" y dejame ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-07-28,952920,58233,5423,95,no
46,DYGY0EsD-Us,https://www.instagram.com/p/DYGY0EsD-Us/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-09,872718,43472,676,82,no
47,DbY-kOkESfA,https://www.instagram.com/p/DbY-kOkESfA/,"Comenta ""JURADO"" y dejame ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-07-29,825811,46126,3341,134,no
48,DY20C1oiXFS,https://www.instagram.com/p/DY20C1oiXFS/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-27,763912,70837,170,70,no
49,DYpucqwD2dG,https://www.instagram.com/p/DYpucqwD2dG/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-22,747479,89918,233,44,no
50,DYnJsDnkWei,https://www.instagram.com/p/DYnJsDnkWei/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-21,738553,69311,45,44,no
51,DaoHD5nkiug,https://www.instagram.com/p/DaoHD5nkiug/,"Comenta ""JURADO"" para darte acceso este 14 de Julio a mi clase en directo y ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-07-10,707314,52481,1515,59,no
52,DbqhgOxDZoa,https://www.instagram.com/p/DbqhgOxDZoa/,"Comenta ""JURADO"" y dejame ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-08-05,700687,72076,2542,79,no
53,DbMiIAskd0l,https://www.instagram.com/p/DbMiIAskd0l/,"Comenta ""JURADO"" y dejame ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-07-25,687884,71774,384,64,no
54,Db3ZhOCCIqw,https://www.instagram.com/p/Db3ZhOCCIqw/,"Comenta ""JURADO"" y dejame ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-08-10,671316,37511,1553,93,no
55,DanhMFMieTM,https://www.instagram.com/p/DanhMFMieTM/,"Comenta ""JURADO"" para darte acceso este 14 de Julio a mi clase en directo y ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-07-10,668399,42288,1009,109,no
56,DatQmWOEdDL,https://www.instagram.com/p/DatQmWOEdDL/,"Comenta ""JURADO"" para darte acceso este 14 de Julio a mi clase en directo y ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-07-12,592473,41506,2814,65,no
57,Daivz8WklIj,https://www.instagram.com/p/Daivz8WklIj/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-07-08,587457,33147,1325,81,no
58,DabZNAviWU3,https://www.instagram.com/p/DabZNAviWU3/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-07-05,580636,37359,1639,57,no
59,DYLigIjEfO7,https://www.instagram.com/p/DYLigIjEfO7/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-11,568833,27367,742,69,no
60,DaQZ5foDeXJ,https://www.instagram.com/p/DaQZ5foDeXJ/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-07-01,562949,51849,1426,98,no
61,DaqXUuskZ-o,https://www.instagram.com/p/DaqXUuskZ-o/,"Comenta ""JURADO"" para darte acceso este 14 de Julio a mi clase en directo y ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-07-11,548174,27919,1139,110,no
62,DY8EkGJAl7v,https://www.instagram.com/p/DY8EkGJAl7v/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-29,542493,38046,110,40,no
63,Dbg3XyLCRKn,https://www.instagram.com/p/Dbg3XyLCRKn/,"Comenta ""JURADO"" y dejame ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-08-01,539669,28476,325,91,no
64,DbbgH3BjZzW,https://www.instagram.com/p/DbbgH3BjZzW/,"Comenta ""JURADO"" y dejame ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-07-30,500772,29297,1995,87,no
65,DZXwTEkCaN1,https://www.instagram.com/p/DZXwTEkCaN1/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-06-09,499685,37160,8910,91,no
66,DZSmlrwjDkj,https://www.instagram.com/p/DZSmlrwjDkj/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-06-07,480958,35072,1521,105,no
67,Da8fn8QFJkv,https://www.instagram.com/p/Da8fn8QFJkv/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-07-18,461949,22569,323,66,no
68,Db8qBetAJcA,https://www.instagram.com/p/Db8qBetAJcA/,"Comenta ""JURADO"" y dejame ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-08-12,448610,20994,434,102,no
69,DY5EdeHDaTU,https://www.instagram.com/p/DY5EdeHDaTU/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-28,443955,32605,191,93,no
70,DYsaICtmkGq,https://www.instagram.com/p/DYsaICtmkGq/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-23,440544,29724,43,26,no
71,DbtofPaCGf3,https://www.instagram.com/p/DbtofPaCGf3/,"Comenta ""JURADO"" y dejame ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-08-06,431847,45462,1539,77,no
72,DYUs5ulAXoD,https://www.instagram.com/p/DYUs5ulAXoD/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-14,431339,32243,88,69,no
73,Da3amykE5Ut,https://www.instagram.com/p/Da3amykE5Ut/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-07-16,420848,24587,732,103,no
74,DbEDowyjG6G,https://www.instagram.com/p/DbEDowyjG6G/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-07-21,410033,20110,227,36,no
75,DaddgG1FX9w,https://www.instagram.com/p/DaddgG1FX9w/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-07-06,404943,19451,1560,67,no
76,DbvrSN-jwwE,https://www.instagram.com/p/DbvrSN-jwwE/,"Comenta ""JURADO"" y dejame ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-08-07,400153,17855,602,82,no
77,DaqlFMKigFz,https://www.instagram.com/p/DaqlFMKigFz/,"Comenta ""JURADO"" para darte acceso este 14 de Julio a mi clase en directo y ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-07-11,397408,20851,1410,116,no
78,DbOTjdPEj-Z,https://www.instagram.com/p/DbOTjdPEj-Z/,"Comenta ""JURADO"" y dejame ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-07-25,391036,19067,444,68,no
79,Da564-qjk8l,https://www.instagram.com/p/Da564-qjk8l/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-07-17,385228,23612,340,110,no
80,DYAn3W0CQlS,https://www.instagram.com/p/DYAn3W0CQlS/,"Sígueme aquí 👉🏼 @juradonegocios para mejorar tu comunicación y oratoria, y hablar como el 1%.",@juradonegocios,2026-05-06,384533,37054,57,50,no
