n,shortcode,url,caption,cuenta,fecha,views,likes,comments,duracion_seg,transcripto
32,DVylb4_DdNi,https://www.instagram.com/p/DVylb4_DdNi/,"Si quieres saber cual es la estructura exacta para tu nicho en concreto, comenta ""GUIÓN""👇",@herasmedia,2026-03-12,206652,10874,13360,54,no
33,DCZuQc3xyqw,https://www.instagram.com/p/DCZuQc3xyqw/,Todos mis Coches sin Filtro,@victorherasemprendedor,2024-11-15,204021,5117,1202,75,no
34,DRsQ5ICkXPW,https://www.instagram.com/p/DRsQ5ICkXPW/,"Si quieres saber cómo hacer contenido viral para tu nicho, coméntame tu nicho 👇",@herasmedia,2025-11-30,192270,7033,3036,55,no
35,DTqYYVBj0NF,https://www.instagram.com/p/DTqYYVBj0NF/,Ferrari “alquilado”,@victorherasemprendedor,2026-01-18,192181,8860,139,27,no
36,DNTepP6Rkfn,https://www.instagram.com/p/DNTepP6Rkfn/,Si quieres aprender la estructura exacta para hacer vídeos virales y conseguir +100.000 seguidores (con un solo vídeo) como Ramón,@herasmedia,2025-08-13,190819,5986,4258,74,no
37,DPRxECdEV01,https://www.instagram.com/p/DPRxECdEV01/,"Si quieres conseguir más de 100k en seguidores como Ramón ""CLASE"" en este video👇",@herasmedia,2025-10-01,190026,5003,4513,66,no
38,Cm4mUoqoh5y,https://www.instagram.com/p/Cm4mUoqoh5y/,Este año me he llevado la lección más importante de mi vida:,@victorherasemprendedor,2023-01-01,189000,8049,386,89,no
39,Cr1QKsPM4Bo,https://www.instagram.com/p/Cr1QKsPM4Bo/,Increíble pero esto ocurrió 👇😮,@victorherasemprendedor,2023-05-04,188114,7212,139,60,no
40,DS71dbfjfsq,https://www.instagram.com/p/DS71dbfjfsq/,Enfócate este 2026.,@victorherasemprendedor,2025-12-31,185867,14212,142,27,no
41,DSag3cLj4AI,https://www.instagram.com/p/DSag3cLj4AI/,POV: Te enfocaste en ti durante 3 años …,@victorherasemprendedor,2025-12-18,181648,10295,62,13,no
42,DS8KpBikTjL,https://www.instagram.com/p/DS8KpBikTjL/,"Lo que sabías de el algoritmo del 2025 ya no funciona en este año 2026, si quieres saber cómo hacer contenido viral y cómo funciona el algoritmo, comenta ""2026""",@herasmedia,2025-12-31,179603,8370,4050,86,no
43,CkBs1bDpaSx,https://www.instagram.com/p/CkBs1bDpaSx/,Deberías aplicarlo.,@victorherasemprendedor,2022-10-22,172396,4027,171,77,no
44,DTYYua7ETDR,https://www.instagram.com/p/DTYYua7ETDR/,"Si quieres saber cómo crecer tu cuenta según tu nicho, comenta aquí tu nicho👇",@herasmedia,2026-01-11,169801,7238,1249,83,no
45,Das3elmRg4h,https://www.instagram.com/p/Das3elmRg4h/,"Si quieres saber cómo hacer un guion según tu caso, comenta ""GUIÓN""👇",@herasmedia,2026-07-12,167968,6650,3568,79,no
46,CrjQxJUuuSn,https://www.instagram.com/p/CrjQxJUuuSn/,Logra un video viral ¿Con macarrones? 😳👇,@victorherasemprendedor,2023-04-27,166660,13810,224,70,no
47,DO_a7-MkXw9,https://www.instagram.com/p/DO_a7-MkXw9/,"Si quieres saber cómo lo hice con mi cliente Alfredo, comenta la palabra ""YO"" en este video👇",@herasmedia,2025-09-24,161433,3813,1824,55,no
48,CsCHil-u1Ev,https://www.instagram.com/p/CsCHil-u1Ev/,Estos retos debes asumir si quieres ser viral 👇,@victorherasemprendedor,2023-05-09,161252,6371,52,60,no
49,CkEXaGxpTZj,https://www.instagram.com/p/CkEXaGxpTZj/,La clave del éxito empresarial de Zara. 😉,@victorherasemprendedor,2022-10-23,158450,3537,152,84,no
50,DVWdIb4kayv,https://www.instagram.com/p/DVWdIb4kayv/,"Si quieres aprender a optimizar tu biografía para tu nicho y cómo hacer 20.000€/Mes, comenta ""BIO""👇",@herasmedia,2026-03-01,158121,5048,2602,48,no
51,DQkJbQjke0a,https://www.instagram.com/p/DQkJbQjke0a/,"Si quieres que te diga cómo hacerte viral y llegar a 100.000 seguidores para tu nicho, coméntame tu nicho👇👇",@herasmedia,2025-11-02,156604,4901,1658,66,no
52,DMf5MBfxZTT,https://www.instagram.com/p/DMf5MBfxZTT/,Comenta “CLASE” y te la envío antes de que la borre!,@herasmedia,2025-07-24,156127,5122,3054,88,no
53,Cik_388J_5c,https://www.instagram.com/p/Cik_388J_5c/,Nos están engañando.,@victorherasemprendedor,2022-09-16,154075,5822,359,57,no
54,DadSinXBikl,https://www.instagram.com/p/DadSinXBikl/,"Si quieres saber el sistema paso a paso explicado para cada nicho para que tú puedas hacerlo, comenta “CCN”👇",@herasmedia,2026-07-06,150383,6625,3479,68,no
55,DZ755ukhsc5,https://www.instagram.com/p/DZ755ukhsc5/,🙃,@victorherasemprendedor,2026-06-23,150218,2667,33,10,no
56,DQ2FW-skb7Y,https://www.instagram.com/p/DQ2FW-skb7Y/,"Si quieres saber cómo hacer mínimo 10.000€ con tu cuenta de Instagram, comenta ""VÍDEO""👇",@herasmedia,2025-11-09,150071,3727,1414,53,no
57,DMvTFqkxMyc,https://www.instagram.com/p/DMvTFqkxMyc/,Comenta “CLASE” y te la envío #,@herasmedia,2025-07-30,148997,5445,5274,73,no
