n,url,titulo,plataforma,cuenta,fecha,views,likes,comments,formato,transcripto
271,https://www.youtube.com/shorts/fZK4NXXxYoA,top semanal @senseisinpelo fZK4NXXxYoA,youtube,@senseisinpelo,2025-08-08,,,,short,no
272,https://www.tiktok.com/@librosdelsensei/video/7548136724229016837,top semanal @librosdelsensei 7548136724229016837,tiktok,@librosdelsensei,2025-09-05,,,,tiktok,no
273,https://www.instagram.com/reel/DRpT1umDYoI/,top semanal @senseialma DRpT1umDYoI,instagram,@senseialma,2025-11-26,,,,reel,no
274,https://www.instagram.com/reel/DPomlidjaQ8/,top semanal @senseialma DPomlidjaQ8,instagram,@senseialma,2025-10-09,,,,reel,no
275,https://www.tiktok.com/@librosdelsensei/video/7539605085219802373,top semanal @librosdelsensei 7539605085219802373,tiktok,@librosdelsensei,2025-08-15,,,,tiktok,no
276,https://www.instagram.com/reel/DRcn1hEEYg7/,top semanal cuenta sin dato DRcn1hEEYg7,instagram,SIN DATO (CM: María),2025-11-19,,,,reel,no
277,https://www.youtube.com/shorts/lnIkpMC8uOI,top semanal @habitosdelsensei lnIkpMC8uOI,youtube,@habitosdelsensei,2025-11-05,,,,short,no
278,https://www.youtube.com/shorts/gRgkQEjC5Yk,top semanal @elsenseireel gRgkQEjC5Yk,youtube,@elsenseireel,2025-11-12,,,,short,no
279,https://www.instagram.com/reel/DNzLD_WZhko/,top semanal @habitosdelsensei DNzLD_WZhko,instagram,@habitosdelsensei,2025-08-22,,,,reel,no
280,https://vt.tiktok.com/ZSUKdxkm2,top semanal @habitosdelsensei ZSUKdxkm2,tiktok,@habitosdelsensei,2025-08-22,,,,tiktok,no
281,https://www.instagram.com/reel/DNpBGP7z36K/,top semanal @habitosdelsensei DNpBGP7z36K,instagram,@habitosdelsensei,2025-08-15,,,,reel,no
282,https://www.instagram.com/reel/DNQ0MblTTCQ/,top semanal @habitosdelsensei DNQ0MblTTCQ,instagram,@habitosdelsensei,2025-08-08,,,,reel,no
283,https://vm.tiktok.com/ZMAgS5dk9,top semanal @senseirich_ ZMAgS5dk9,tiktok,@senseirich_,2025-08-08,,,,tiktok,no
284,https://www.youtube.com/shorts/opV_4NLhbMA,top semanal @senseielcoach opV_4NLhbMA,youtube,@senseielcoach,2025-10-02,,,,short,no
285,https://www.tiktok.com/@librosdelsensei/video/7580415063002008850,top semanal @librosdelsensei 7580415063002008850,tiktok,@librosdelsensei,2025-12-03,,,,tiktok,no
286,https://www.instagram.com/reel/DNsx_JG5nru/,top semanal @senseialma DNsx_JG5nru,instagram,@senseialma,2025-08-22,,,,reel,no
287,https://vt.tiktok.com/ZSUEVvUEX,top semanal @senseialma ZSUEVvUEX,tiktok,@senseialma,2025-08-15,,,,tiktok,no
288,https://www.instagram.com/p/DQcI9u5kWNI/,top semanal @librosdelsensei DQcI9u5kWNI,instagram,@librosdelsensei,2025-10-29,,,,reel,no
289,https://www.tiktok.com/@elsenseiprofe/video/7575233373153643783,top semanal @senseielprofesor 7575233373153643783,tiktok,@senseielprofesor,2025-11-19,,,,tiktok,no
290,https://www.instagram.com/reel/DOtGN9-E7VA/,top semanal @habitosdelsensei DOtGN9-E7VA,instagram,@habitosdelsensei,2025-09-12,,,,reel,no
291,https://vm.tiktok.com/ZMA97gLYK,top semanal @senseielcoach ZMA97gLYK,tiktok,@senseielcoach,2025-09-26,,,,tiktok,no
292,https://www.youtube.com/shorts/4eJgN2NLm6k,top semanal @relojesdelsensei 4eJgN2NLm6k,youtube,@relojesdelsensei,2025-11-19,,,,short,no
293,https://www.instagram.com/p/DP_8BC0EfO8/,top semanal @librosdelsensei DP_8BC0EfO8,instagram,@librosdelsensei,2025-10-16,,,,reel,no
294,https://vt.tiktok.com/ZSynJBRmP,top semanal @senseialma ZSynJBRmP,tiktok,@senseialma,2025-11-05,,,,tiktok,no
295,https://www.tiktok.com/@elsenseiprofe/video/7578164055945284882,top semanal @senseielprofesor 7578164055945284882,tiktok,@senseielprofesor,2025-11-26,,,,tiktok,no
296,https://www.youtube.com/shorts/0Lcit1MTfbA,top semanal @relojesdelsensei 0Lcit1MTfbA,youtube,@relojesdelsensei,2025-11-12,,,,short,no
297,https://www.tiktok.com/@librosdelsensei/video/7571152115423366408,top semanal @librosdelsensei 7571152115423366408,tiktok,@librosdelsensei,2025-11-05,,,,tiktok,no
298,https://www.tiktok.com/@elsenseiprofe/video/7552971019061972236,top semanal @senseielprofesor 7552971019061972236,tiktok,@senseielprofesor,2025-09-19,,,,tiktok,no
299,https://www.instagram.com/reel/DRpSIeLDnE3/,top semanal cuenta sin dato DRpSIeLDnE3,instagram,SIN DATO (CM: Maria),2025-11-26,,,,reel,no
300,https://www.youtube.com/shorts/OF5MVZlUTMQ,top semanal @senseisinpelo OF5MVZlUTMQ,youtube,@senseisinpelo,2025-08-15,,,,short,no
301,https://vt.tiktok.com/ZSU9YnsJ1,top semanal @alestilodelsensei ZSU9YnsJ1,tiktok,@alestilodelsensei,2025-10-09,,,,tiktok,no
302,https://www.tiktok.com/@senseisinpelo_/video/7535520706864434438,top semanal @senseisinpelo 7535520706864434438,tiktok,@senseisinpelo,2025-08-01,,,,tiktok,no
303,https://www.tiktok.com/@librosdelsensei/video/7572244190067756296,top semanal @librosdelsensei 7572244190067756296,tiktok,@librosdelsensei,2025-11-12,,,,tiktok,no
304,https://www.tiktok.com/@senseisinpelo_/video/7556659190165409035,top semanal @senseisinpelo 7556659190165409035,tiktok,@senseisinpelo,2025-10-02,,,,tiktok,no
305,https://www.instagram.com/reel/DRkWbEukedf/,top semanal cuenta sin dato DRkWbEukedf,instagram,SIN DATO (CM: Fabiola),2025-11-26,,,,reel,no
306,https://www.instagram.com/reel/DOcN9WXk6qk/,top semanal @habitosdelsensei DOcN9WXk6qk,instagram,@habitosdelsensei,2025-09-05,,,,reel,no
307,https://vt.tiktok.com/ZSUK8rMTS,top semanal @senseimentalidad ZSUK8rMTS,tiktok,@senseimentalidad,2025-08-08,,,,tiktok,no
308,https://vt.tiktok.com/ZSUEtb4Uq,top semanal @senseialma ZSUEtb4Uq,tiktok,@senseialma,2025-08-29,,,,tiktok,no
