n,shortcode,url,caption,cuenta,fecha,views,likes,comments,duracion_seg,transcripto
44,Dbs7wluRZ7y,https://www.instagram.com/p/Dbs7wluRZ7y/,#elsensei #senseiprofe,@librosdelsensei,2026-08-06,18631,321,5,40,no
45,DZasqsxxpxj,https://www.instagram.com/p/DZasqsxxpxj/,#elsensei #senseiprofe,@librosdelsensei,2026-06-10,18026,758,29,34,no
46,DbLTGFkRZiv,https://www.instagram.com/p/DbLTGFkRZiv/,#elsensei #senseiprofe,@librosdelsensei,2026-07-24,17532,905,29,43,no
47,DZL0dANxHo9,https://www.instagram.com/p/DZL0dANxHo9/,#elsensei #senseiprofe,@librosdelsensei,2026-06-05,16851,753,14,42,no
48,DbVk_x5xsXa,https://www.instagram.com/p/DbVk_x5xsXa/,#elsensei #senseiprofe,@librosdelsensei,2026-07-28,16530,365,6,41,no
49,DZ0d4ZLxUcG,https://www.instagram.com/p/DZ0d4ZLxUcG/,#elsensei #senseiprofe,@librosdelsensei,2026-06-20,14103,849,38,51,no
50,DZNXHFPxfNx,https://www.instagram.com/p/DZNXHFPxfNx/,Comenta 👇🏻 “Clase”,@librosdelsensei,2026-06-05,12674,403,87,39,no
51,DZ0c-5ZxZwW,https://www.instagram.com/p/DZ0c-5ZxZwW/,#elsensei #senseiprofe,@librosdelsensei,2026-06-20,12587,1128,63,90,no
52,DY-0K6tRhx2,https://www.instagram.com/p/DY-0K6tRhx2/,#elsensei #senseiprofe,@librosdelsensei,2026-05-30,12381,859,27,39,no
53,DZKxv_YtB9l,https://www.instagram.com/p/DZKxv_YtB9l/,Comenta👇🏻 “Clase”,@librosdelsensei,2026-06-04,12021,507,43,69,no
54,DZdozZpR9Fc,https://www.instagram.com/p/DZdozZpR9Fc/,#elsensei #senseiprofe,@librosdelsensei,2026-06-11,11605,693,18,23,no
55,DZ0bijlxvUo,https://www.instagram.com/p/DZ0bijlxvUo/,#elsensei #senseiprofe,@librosdelsensei,2026-06-20,11604,975,28,36,no
56,DaUFAODxMdj,https://www.instagram.com/p/DaUFAODxMdj/,#elsensei #senseiprofe,@librosdelsensei,2026-07-03,11555,341,16,49,no
57,DZaTJQBRCmR,https://www.instagram.com/p/DZaTJQBRCmR/,Comenta 👇🏻 “Invertir”,@librosdelsensei,2026-06-10,11553,550,243,61,no
58,DZdHKP5xljg,https://www.instagram.com/p/DZdHKP5xljg/,Comenta 👇🏻 “Clase”,@librosdelsensei,2026-06-11,10782,630,88,53,no
59,Dai_mzZxATX,https://www.instagram.com/p/Dai_mzZxATX/,#elsensei #senseiprofe,@librosdelsensei,2026-07-08,10613,419,1,37,no
60,DbjfoQoRqw9,https://www.instagram.com/p/DbjfoQoRqw9/,#elsensei #senseiprofe,@librosdelsensei,2026-08-02,9816,354,2,43,no
61,DaGRb0gx8Y_,https://www.instagram.com/p/DaGRb0gx8Y_/,#elsensei #senseiprofe,@librosdelsensei,2026-06-27,9675,513,11,51,no
62,DZoc7ekAo0v,https://www.instagram.com/p/DZoc7ekAo0v/,#elsensei #senseiprofe,@librosdelsensei,2026-06-16,9478,724,282,28,no
63,DY5p6odRdAD,https://www.instagram.com/p/DY5p6odRdAD/,Comenta 👇🏻 “Invertir”,@librosdelsensei,2026-05-28,8885,408,12,54,no
64,DaSv7Gnx8Xb,https://www.instagram.com/p/DaSv7Gnx8Xb/,#elsensei #senseiprofe,@librosdelsensei,2026-07-02,8589,348,14,70,no
65,DZprzOkROQd,https://www.instagram.com/p/DZprzOkROQd/,#elsensei #senseiprofe,@librosdelsensei,2026-06-16,8369,317,21,42,no
66,DZodQidAoZv,https://www.instagram.com/p/DZodQidAoZv/,#elsensei #senseiprofe,@librosdelsensei,2026-06-16,8284,303,2,30,no
67,DZf_1dqxV7s,https://www.instagram.com/p/DZf_1dqxV7s/,Comenta 👇🏻 “Aprender”,@librosdelsensei,2026-06-12,7592,420,33,69,no
68,DbTNm37x6t8,https://www.instagram.com/p/DbTNm37x6t8/,#elsensei #senseiprofe,@librosdelsensei,2026-07-27,7541,289,20,33,no
69,DbIorOJRSbB,https://www.instagram.com/p/DbIorOJRSbB/,#elsensei #senseiprofe,@librosdelsensei,2026-07-23,7403,487,4,25,no
