n,url,titulo,plataforma,cuenta,fecha,views,likes,comments,duracion_seg,formato,transcripto
30,https://www.youtube.com/watch?v=v7_sHgu4lLE,"Trading de 1 Hora: Cómo Ganar Consistentemente en 2026",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,1295,video-largo,no
31,https://www.youtube.com/watch?v=VM4DHFeTgoI,"Cómo hacer Trading sin perder dinero. 🤑 #daytrading #trading",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,80,video-largo,no
32,https://www.youtube.com/watch?v=_ybLTaSYOGE,"¿Ser o Hacer? Todos quieren ser pero nadie quiere hacer... ",youtube,@Gocholive,SIN DATO, Gocholive,SIN DATO,SIN DATO,0,video-largo,no
33,https://www.youtube.com/watch?v=dYf1U4mKKvA,"¿Visualizar? ¿Tomar Acción? ¿Seguirás viviendo e imaginando...  ",youtube,@Gocholive,SIN DATO, Gocholive,SIN DATO,SIN DATO,0,video-largo,no
34,https://www.youtube.com/watch?v=5boJGH3Vcnk,"Todo lo que he costruido mis conocimientos de Trading de 5 años ",youtube,@Gocholive,SIN DATO, Gocholive,SIN DATO,SIN DATO,0,video-largo,no
35,https://www.youtube.com/watch?v=Wgyaka82jTQ,"¿Como conseguir mi propósito? ✅ ¿Es fácil conseguirlo? ",youtube,@Gocholive,SIN DATO, Gocholive,SIN DATO,SIN DATO,0,video-largo,no
36,https://www.youtube.com/watch?v=_AngZ81ZUgo,"¿Dormido o despierto? ¿Realmente eres feliz? ",youtube,@Gocholive,SIN DATO, Gocholive,SIN DATO,SIN DATO,0,video-largo,no
37,https://www.youtube.com/watch?v=PdVzrOnOv1k,"✅ Transcender  ",youtube,@Gocholive,SIN DATO, Mis Pensamientos 💭 #29 ,SIN DATO,SIN DATO,0,video-largo,no
38,https://www.youtube.com/watch?v=g0IlvQZMr-Q,"¿Conoces cuál es tu Ancla ⚓️?  ",youtube,@Gocholive,SIN DATO, Gocholive,SIN DATO,SIN DATO,0,video-largo,no
39,https://www.youtube.com/watch?v=6_fafEn-naE,"Historias de éxito - Entornos de valor  ",youtube,@Gocholive,SIN DATO, Gocholive,SIN DATO,SIN DATO,0,video-largo,no
40,https://www.youtube.com/watch?v=tTz9e03dykY,"Que debemos aprender de los Americanos 🇺🇸  ",youtube,@Gocholive,SIN DATO, Gocholive,SIN DATO,SIN DATO,0,video-largo,no
41,https://www.youtube.com/watch?v=gg1cuF_cvp8,"Lo que me funciono en redes ",youtube,@Gocholive,SIN DATO, Gocholive,SIN DATO,SIN DATO,0,video-largo,no
42,https://www.youtube.com/watch?v=j1fSpDeSUO8,"¿Cuánto vale mi libertad y mi paz? ¿Que papel quieres jugar...? ",youtube,@Gocholive,SIN DATO, Gocholive,SIN DATO,SIN DATO,0,video-largo,no
43,https://www.youtube.com/watch?v=_hi0uK0aMAQ,"¿Todos podemos ser emprendedores? ❌ No emigres sin un plan ",youtube,@Gocholive,SIN DATO, Gocholive,SIN DATO,SIN DATO,0,video-largo,no
44,https://www.youtube.com/watch?v=0NyYORfMQ54,"✅ contenido viral 💣💣? ¿Esa es la manera? ",youtube,@Gocholive,SIN DATO, Gocholive,SIN DATO,SIN DATO,0,video-largo,no
45,https://www.youtube.com/watch?v=LOyXeVGPFo4,"Ayahusca vive la experiencia y aquí te lo cuento ",youtube,@Gocholive,SIN DATO, Gocholive,SIN DATO,SIN DATO,0,video-largo,no
46,https://www.youtube.com/watch?v=jDB1-JxIqgA,"Actitud ",youtube,@Gocholive,SIN DATO, Gocholive,SIN DATO,SIN DATO,0,video-largo,no
47,https://www.youtube.com/watch?v=ZMyRcWWAewI,"✅ ¿Monetizar Online? ",youtube,@Gocholive,SIN DATO, Gocholive,SIN DATO,SIN DATO,0,video-largo,no
48,https://www.youtube.com/watch?v=CkN_SDWkbrM,"Elimina tu círculo vicioso de tu vida ",youtube,@Gocholive,SIN DATO, Gocholive,SIN DATO,SIN DATO,0,video-largo,no
